K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;14.37709744;498.3508
0;250;14.20726393;506.089
0;250;13.93175883;480.0069
0;250;14.03503481;500.1241
0;250;14.00125135;463.8
0;250;13.89361699;564.2422
0;250;13.87001811;423.8175
0;250;13.75458052;439.818
0;250;13.69710324;412.4205
0;250;13.78454735;597.6099
0;250;13.67297602;697.3227
0;250;13.54621022;519.0923
0;250;13.4313232;558.4756
0;250;13.37521306;480.5939
0;250;13.45147981;441.9471
0;250;13.57188236;404.9536
0;250;13.39802511;362.1408
0;250;13.60475624;437.153
0;250;13.71607448;465.7598
0;250;13.64081334;401.0959
0;250;13.69966188;437.0188
0;250;13.58684281;395.3881
0;250;13.46406687;416.4171
0;250;13.68193988;481.4983
0;250;13.39740669;460.1248
0;250;12.4011225;414.0625
0;250;11.96725835;339.714
0;250;11.40978717;371.5024
0;250;10.48797704;323.298
0;250;9.988196606;369.4561
0;250;9.460314259;296.3766
0;250;8.620487231;292.0098
0;250;8.486716448;319.7257
0;250;8.014569605;337.8449
0;250;7.18114264;283.6658
0;250;6.85441636;307.3786
0;250;6.410830234;284.7006
0;250;5.869580532;266.3253
0;250;5.448930994;330.0226
0;250;4.855150257;314.9216
0;250;4.426085376;252.0245
0;250;4.158999065;270.7775
0;250;3.691679448;252.2262
0;250;3.068365928;273.5494
0;250;2.669296962;247.3777
0;250;2.036165066;256.6128
0;250;1.567119189;251.8493
0;250;0.934625414;271.6273
0;250;0.477442727;256.0755
0;250;0.516401343;265.1811
0;250;0.285656949;252.2336
0;500;13.28669598;609.2205
0;500;13.18290716;561.6365
0;500;12.96549927;607.5092
0;500;13.27841653;564.9482
0;500;13.2897041;569.3654
0;500;13.07770543;540.6178
0;500;12.91778074;566.7464
0;500;12.73594038;602.467
0;500;12.59636546;525.3336
0;500;12.28302893;572.3565
0;500;11.96282877;521.9032
0;500;11.23508893;508.1816
0;500;10.83881422;512.8573
0;500;10.30356408;509.8998
0;500;9.939436182;460.0564
0;500;9.725993524;573.1513
0;500;9.705610663;587.9961
0;500;9.252380651;516.7612
0;500;8.879342437;492.8603
0;500;8.119642722;479.5176
0;500;7.505208284;488.7665
0;500;7.010634966;522.0736
0;500;6.533476865;596.506
0;500;6.176356801;611.651
0;500;5.628464579;611.2063
0;500;4.766100177;541.2335
0;500;4.155555719;605.8798
0;500;3.611346307;587.4835
0;500;3.050524616;541.815
0;500;2.432480886;559.2642
0;500;2.054331918;640.5602
0;500;1.696769168;609.3203
0;500;1.306727383;589.158
0;500;0.806410261;576.8268
