K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;16.54823449;390.6566
0;250;16.45765817;394.1198
0;250;16.21123806;419.1489
0;250;16.11666998;371.5981
0;250;16.16897071;392.6941
0;250;16.21692037;455.7331
0;250;16.28932985;432.5836
0;250;16.0106465;583.7237
0;250;15.59946025;448.0535
0;250;15.18610276;441.6363
0;250;14.89168985;517.4209
0;250;14.89115275;504.4216
0;250;14.84547214;464.9496
0;250;14.89829123;394.8538
0;250;14.86149682;398.3835
0;250;14.62821809;486.2704
0;250;14.2036225;445.8835
0;250;13.95431098;404.8757
0;250;13.93188195;376.5942
0;250;14.2384329;389.498
0;250;14.4638866;382.4214
0;250;14.50665504;487.0303
0;250;14.38808061;425.8976
0;250;14.30191201;449.2873
0;250;14.60063656;422.8836
0;250;14.91400938;484.3875
0;250;15.34479159;548.4599
0;250;15.82967362;438.7506
0;250;15.74723148;437.8146
0;250;15.39719576;443.0704
0;250;15.00795276;492.1641
0;250;14.77471451;431.1649
0;250;14.67813408;385.5668
0;250;14.7441959;448.2676
0;250;14.77809592;433.2532
0;250;14.75573989;375.6212
0;250;14.61165808;392.6438
0;250;14.48011098;395.6271
0;250;14.25280067;404.8833
0;250;13.957389;393.6941
0;250;13.472954;402.7829
0;250;12.70860013;431.4101
0;250;11.95705848;412.8319
0;250;11.03296295;435.4777
0;250;10.14716898;440.1713
0;250;9.598142394;474.6478
0;250;9.312200524;424.9868
0;250;8.945147304;432.8904
0;250;8.437184217;459.1085
0;250;7.711000153;489.6481
0;250;7.35235368;438.2518
0;250;7.050586794;495.337
0;250;6.767957903;531.7786
0;250;6.503395802;411.3022
0;250;6.232498396;450.4397
0;250;6.018074435;426.4834
0;250;5.964261028;439.3059
0;250;5.889560912;459.633
0;250;6.078559749;492.803
0;250;5.905874059;464.162
0;250;5.726611947;453.8426
0;250;5.552607395;501.6921
0;250;5.753194541;495.9868
0;250;5.760585026;483.8173
0;250;5.66427818;455.6376
0;250;5.575176037;556.9087
0;250;5.481698958;511.8724
0;250;5.731251083;515.6742
0;250;6.037358966;483.3699
0;250;6.34156327;475.0943
0;250;6.440914972;533.5023
0;250;6.337212045;480.9005
0;250;6.250467657;494.844
0;250;6.335143097;447.0623
0;250;6.519741296;494.0029
0;250;6.821534885;505.1798
0;250;6.83333745;468.8029
0;250;6.676622415;435.7816
0;250;6.622716249;485.336
0;250;6.832369314;515.2079
0;250;6.85478655;470.1994
0;250;6.767367151;445.0447
0;250;6.871808544;493.0543
0;250;7.033033708;441.8517
0;250;6.862813352;499.5027
0;250;6.478989061;511.7938
0;250;6.6247191;441.2991
0;250;6.541077512;487.0314
0;250;6.372581348;439.7034
0;250;6.315726792;506.6669
0;250;6.023974429;472.1055
0;250;5.569655275;519.8605
0;250;5.042473914;488.418
0;250;4.620445482;519.5459
0;250;4.493081027;504.8491
0;250;4.326794745;507.0345
0;250;3.994438392;505.3039
0;250;3.925306079;501.0388
0;250;3.576705068;490.6369
0;250;3.260244833;513.5639
0;250;3.056161409;495.9266
0;250;2.96730076;504.5521
0;250;2.527822016;502.8924
0;250;2.503820821;450.0918
0;250;2.151266888;475.7772
0;250;1.952134861;481.8751
0;250;1.583729053;487.537
0;250;1.420906506;484.5489
0;250;1.355679139;492.4969
0;250;1.393756321;515.1238
0;250;1.054250399;459.1017
1;0;14.44974741;545.0798
1;0;14.37769553;580.5022
1;0;14.22563096;540.0646
1;0;14.08888451;491.3302
1;0;13.8959125;525.5374
1;0;13.56285569;496.9077
1;0;13.0441243;548.1268
1;0;12.38665483;516.477
1;0;12.21260558;504.2362
1;0;12.2470079;530.1443
1;0;12.42885779;541.3584
1;0;12.13189976;550.7938
1;0;11.37999207;524.3223
1;0;10.09320499;546.3892
1;0;8.913036007;548.2269
1;0;8.063996625;488.3752
1;0;7.89666176;585.6512
1;0;7.674010774;526.4333
1;0;7.261707842;526.6885
1;0;6.560988552;549.3224
1;0;5.740781536;596.395
1;0;5.298743296;622.9375
1;0;5.363384615;668.0352
1;0;5.575296671;506.9625
