K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;4.626862831;30.3091
0;250;4.57644358;30.5365
0;250;4.531666676;31.1936
0;250;4.526023729;33.1837
0;250;4.562448469;33.462
0;250;4.578650574;29.2325
0;250;4.547110574;30.2094
0;250;4.551673499;31.331
0;250;4.529612747;28.9523
0;250;4.542640096;31.4128
0;250;4.545436804;30.355
0;250;4.485008208;31.6885
0;250;4.46001299;33.4069
0;250;4.399114502;32.5823
0;250;4.34319801;32.9821
0;250;4.308839382;34.8571
0;250;4.281767313;31.7615
0;250;4.257008831;36.5826
0;250;4.202149468;33.9157
0;250;4.177690719;35.3487
0;250;4.124770069;34.9669
0;250;3.834713021;33.7792
0;250;3.919666281;33.3112
0;250;3.713259333;33.254
0;250;3.477170966;34.3072
0;250;3.21847495;33.0857
0;250;3.024550532;33.1733
0;250;2.783777443;34.1498
0;250;2.575543259;36.4931
0;250;2.71352472;34.1806
0;250;2.813189692;34.5009
0;250;2.705655204;36.0124
0;250;2.477014353;34.7263
0;250;2.496950711;38.4616
0;250;2.31897402;38.4284
0;250;2.135909526;38.9015
0;250;2.190600006;37.9907
0;250;2.207533209;38.8539
0;250;2.237307647;36.6817
0;250;1.986390239;38.4735
0;250;1.599668128;39.5859
0;250;1.434343449;36.8442
0;250;1.348076157;37.6417
0;250;1.565641121;37.1389
0;250;1.775165701;38.9808
0;250;1.661660865;37.8398
0;250;1.41574895;38.2588
0;250;1.067397726;39.6713
0;250;0.759323434;37.8271
0;250;0.656189188;36.5792
0;250;0.744245429;39.8203
0;250;0.773666569;38.0569
0;250;0.727482628;38.4731
0;250;0.71775041;37.5357
0;250;0.565378435;36.6435
0;250;0.241184885;37.9834
0;250;0.091273907;38.7296
1;0;12.52558321;106.881
1;0;12.36548089;315.525
1;0;11.99068568;420.7746
1;0;11.87342102;134.3543
1;0;12.01096614;231.3817
1;0;12.05728693;281.0453
1;0;11.82060725;144.4452
1;0;11.35966259;101.3226
1;0;11.08254959;348.0571
1;0;11.10551268;415.2412
1;0;11.21032766;335.9095
1;0;11.05473335;817.9373
1;0;10.79216683;167.3686
1;0;10.57576399;545.7864
1;0;10.68640498;330.0848
1;0;10.67571988;396.1723
1;0;10.7426029;222.6698
1;0;10.77556304;460.1395
1;0;10.92146843;501.5883
1;0;10.83290673;205.9104
1;0;10.74434613;221.6307
1;0;10.73239273;682.2066
1;0;11.00982536;383.8052
1;0;10.94743403;533.8866
1;0;10.46231086;118.8547
1;0;10.06433088;107.3563
1;0;9.91001499;189.2864
1;0;9.718451663;117.9247
1;0;9.528547553;98.6361
1;0;9.516320316;100.2564
1;0;9.508785528;106.6363
1;0;9.203111485;96.863
1;0;9.339757393;98.5429
1;0;9.1346153;99.7349
1;0;8.547790446;104.9148
1;0;8.191470186;102.4346
1;0;8.146415341;102.3833
1;0;8.143883554;102.9064
1;0;7.678543134;105.3105
1;0;7.23848087;103.9188
1;0;6.695945784;105.0675
1;0;6.253092419;109.1233
1;0;5.758636931;103.039
1;0;5.682692274;106.5504
1;0;5.034460918;97.0228
1;0;4.761949238;98.2646
1;0;4.229276369;99.4374
1;0;4.16196323;107.4236
1;0;3.490180832;122.9989
1;0;3.47913429;149.7558
1;0;3.053294385;411.5369
1;0;2.314719987;202.0712
1;0;2.397710408;210.6885
1;0;2.284448462;157.6914
1;0;1.771559839;176.9662
1;0;1.271747213;173.2995
1;0;1.150688331;159.0734
1;0;1.072546507;136.5416
1;0;0.790990956;185.4792
1;0;0.837661293;169.086
1;0;0.37572995;130.4745
1;0;0.325120118;162.0848
1;0;0.339056655;192.5525
1;900;14.49380941;118.7058
1;900;14.37548515;114.8712
1;900;14.34609314;118.4785
1;900;14.42329297;120.9443
1;900;14.30254592;121.4288
1;900;13.80219737;123.3987
1;900;13.94018926;133.9201
1;900;13.89836796;117.9951
1;900;13.99828192;121.5615
1;900;14.00294904;127.3182
1;900;14.04154292;128.429
1;900;14.089451;125.3531
1;900;14.13010148;126.3391
1;900;14.12403568;129.9081
1;900;13.90393226;133.8282
1;900;13.6733379;122.5785
1;900;13.62295514;120.3583
1;900;13.48917699;137.049
1;900;13.4318016;120.4409
1;900;13.25362234;131.8375
1;900;13.03288434;122.6563
1;900;12.57179487;140.1783
1;900;12.48543313;126.8626
1;900;12.07251955;129.0985
1;900;11.76718877;134.0868
1;900;11.81149562;140.2744
1;900;11.41851593;126.5357
1;900;11.42706575;143.595
1;900;10.83597159;140.7885
1;900;10.98986864;134.5571
1;900;10.57200119;130.9966
1;900;10.42654135;138.7009
1;900;10.05158309;141.1188
1;900;9.985811091;138.359
1;900;9.46627813;137.7398
1;900;9.471408717;143.8758
1;900;8.973523164;137.173
1;900;8.86354514;141.0857
1;900;8.050387184;133.5461
1;900;7.791253573;140.5068
1;900;7.375258334;138.2704
1;900;6.850026509;144.0674
1;900;6.203424168;145.1693
1;900;5.336060746;141.0837
1;900;4.883189534;144.905
1;900;4.227305699;146.6116
1;900;3.790003573;136.1726
1;900;3.082440431;329.314
1;900;2.426202525;199.6409
1;900;1.927754475;183.4748
1;900;1.259175196;263.2479
1;900;0.751275892;212.5934
1;900;0.179767905;206.9103
3;500;13.0564424;125.7287
3;500;13.00761472;126.2641
3;500;13.00720464;122.0784
3;500;12.99529075;127.3619
3;500;12.97940731;127.4931
3;500;12.97119548;129.4588
3;500;12.95284191;123.4214
3;500;13.23524543;126.0861
3;500;13.27652834;126.5265
3;500;13.19094592;137.2151
3;500;13.11003459;124.0425
3;500;13.1403745;124.8762
3;500;12.80870496;122.1295
3;500;12.60213177;121.11
3;500;12.4831896;121.7749
3;500;12.3026992;130.5199
3;500;11.88660562;123.7468
3;500;11.36938234;125.4964
3;500;10.92975515;121.7793
3;500;10.74341857;128.5196
3;500;10.58028444;126.5827
3;500;10.18346171;124.5145
3;500;9.841892681;126.7007
3;500;9.584496;132.421
3;500;9.741964604;126.8284
3;500;9.058471316;134.0501
3;500;8.685704963;125.0729
3;500;8.211207257;132.5266
3;500;7.713697703;135.6731
3;500;7.463169787;129.9294
3;500;6.797710128;134.9204
3;500;6.839324627;129.3355
3;500;6.819919712;131.3188
3;500;6.015268181;137.7706
3;500;6.056383195;137.9225
3;500;5.922391687;130.3831
3;500;5.310064034;131.5275
3;500;4.895659575;136.0857
3;500;4.454999928;132.1169
3;500;3.960647161;133.944
3;500;3.413290396;135.064
3;500;3.24435731;141.7695
3;500;3.310544417;139.7168
3;500;3.134620638;128.9151
3;500;2.708191116;131.3605
3;500;2.28801676;131.8211
3;500;1.844103488;134.9238
3;500;1.323114275;131.988
3;500;1.342772105;138.796
3;500;0.854890049;132.6451
3;500;0.402095583;134.1947
3;500;0.19968982;136.9049
5;500;13.90868924;146.208
5;500;13.7652361;145.7054
5;500;13.61890283;145.8145
5;500;13.49329707;143.4431
5;500;13.40018728;138.6843
5;500;13.39547967;141.2536
5;500;13.3820945;141.5472
5;500;13.62014941;132.0628
5;500;13.44765869;135.323
5;500;13.13439927;134.3366
5;500;12.89950578;130.9179
5;500;13.02870711;129.5198
5;500;13.23344082;142.5936
5;500;13.06746154;134.7409
5;500;12.63570869;136.3306
5;500;12.72235557;141.2881
5;500;12.23309902;133.8678
5;500;12.32096244;128.0349
5;500;12.4806815;128.8539
5;500;11.94013368;135.2931
5;500;12.02002786;134.7252
5;500;12.20374533;139.6566
5;500;11.7083941;128.2442
5;500;11.9158825;135.1807
5;500;11.81318549;137.0675
5;500;11.39989494;138.2362
5;500;11.47804297;141.3898
5;500;10.7945203;130.9212
5;500;11.06177302;139.7667
5;500;10.53763615;130.7818
5;500;10.71992359;137.9349
5;500;10.54257464;135.95
5;500;9.976696946;130.4105
5;500;9.948865842;139.8977
5;500;9.580548011;135.5504
5;500;9.689266692;138.0917
5;500;9.009872907;136.1329
5;500;8.87647478;136.9522
5;500;8.136704269;136.6367
5;500;8.382981871;137.4017
5;500;7.764192577;134.4666
5;500;7.851272239;135.5893
5;500;7.243314751;136.9364
5;500;7.11661916;131.719
5;500;6.867952986;130.5511
5;500;6.365667596;135.3062
5;500;6.252592743;131.7298
5;500;5.571868647;132.6199
5;500;5.737930429;134.6806
5;500;5.013700023;129.3722
5;500;4.987077163;136.1801
5;500;4.265442589;127.9825
5;500;4.35813718;129.2666
5;500;4.158491197;131.5335
5;500;3.843119894;131.2125
5;500;3.766790741;132.1181
5;500;2.91525494;126.5932
5;500;3.023332859;132.9506
5;500;2.321436717;128.7881
5;500;2.506498613;130.1286
5;500;2.157025449;138.8666
5;500;1.785210783;137.6206
5;500;1.832204242;135.3757
5;500;1.056086151;133.6541
5;500;1.254221203;134.8967
5;500;0.77862134;130.2458
5;500;0.6187254;123.6001
5;500;0.582274755;458.7176
7;900;12.29405876;168.9905
7;900;12.24683845;157.7889
7;900;12.12398583;157.8228
7;900;12.20319117;148.311
7;900;11.8890486;135.3857
7;900;11.24319533;133.6738
7;900;11.27134236;124.0655
7;900;10.60286942;121.2357
7;900;10.18537916;130.255
7;900;9.618082449;117.3717
7;900;8.992587055;116.6317
7;900;9.011069647;126.8868
7;900;8.27885793;121.7413
7;900;7.883528374;119.1513
7;900;7.739666212;129.1412
7;900;7.390004944;116.535
7;900;6.530552647;117.6253
7;900;6.534920757;113.8488
7;900;5.46816457;120.641
7;900;5.54464858;135.7217
7;900;4.722444816;115.8351
7;900;4.557576241;116.9248
7;900;4.670520224;122.0196
7;900;3.6122808;119.675
7;900;3.453154718;118.211
7;900;3.540356721;116.1214
7;900;2.877756639;116.5284
7;900;2.423859321;113.0032
7;900;2.197247453;111.4
7;900;1.225689428;108.4877
7;900;1.333549221;109.9682
7;900;0.417258412;110.8657
7;900;0.276678396;748.3389
7;900;0.292247394;443.3525
7;900;0.219925517;253.9301
11;200;11.60512306;115.1268
11;200;11.59586791;115.0148
11;200;11.56603512;118.6245
11;200;11.52156661;121.9252
11;200;11.44888034;125.6182
11;200;11.37969875;111.9623
11;200;11.2683682;106.8652
11;200;11.06844077;111.7272
11;200;10.94177208;110.4655
11;200;10.90054116;114.2891
11;200;11.0281253;113.1354
11;200;11.0856127;110.7276
11;200;11.0013709;107.7494
11;200;10.90238976;114.937
11;200;11.16682251;117.0962
11;200;10.98269659;113.7488
11;200;11.1500807;110.3338
11;200;10.93657963;114.1852
11;200;11.2662433;119.4826
11;200;11.34185028;121.8613
11;200;10.74617959;113.8032
11;200;10.77549807;117.9684
11;200;10.2881092;115.6011
11;200;10.43547442;121.3084
11;200;10.21929642;123.935
11;200;10.04108393;115.5648
11;200;9.974485085;114.7736
11;200;9.717450836;117.6016
11;200;9.880041929;116.1854
11;200;9.983444276;112.0371
11;200;9.427825979;115.4961
11;200;9.22467084;113.0304
11;200;9.362266424;118.1752
11;200;8.487290704;118.8455
11;200;8.463631695;113.7229
11;200;8.599779747;118.1559
11;200;7.590372994;119.512
11;200;7.58966751;119.9173
11;200;7.531499865;120.0438
11;200;6.552415109;129.597
11;200;6.581405;117.6757
11;200;6.139075639;119.5684
11;200;5.441404022;125.2122
11;200;5.448288999;117.2149
11;200;4.995544481;114.8169
11;200;4.068907131;118.6971
11;200;4.083353062;112.5698
11;200;3.637668329;116.4123
11;200;2.700088282;123.2824
11;200;2.699702774;114.9435
11;200;2.420604304;119.2695
11;200;1.266567548;122.1108
11;200;1.367016279;318.7919
11;200;1.106606986;368.3503
11;200;0.206147978;200.4299
11;200;0.262389221;217.3627
14;800;13.1815863;102.9512
14;800;13.153643;99.0911
14;800;12.90990035;100.8892
14;800;12.89345419;101.7329
14;800;12.54788365;103.6712
14;800;12.25120705;100.9644
14;800;12.32198776;102.4228
14;800;12.45316583;102.6863
14;800;12.30222098;106.0536
14;800;11.70842666;100.8109
14;800;11.68569757;110.039
14;800;11.73261138;108.2466
14;800;11.62958022;108.2969
14;800;11.06312751;107.0038
14;800;10.82523926;104.7245
14;800;10.85075472;109.9738
14;800;10.79371535;108.3333
14;800;9.982651738;106.3637
14;800;9.958173884;109.8578
14;800;9.955274104;110.5192
14;800;9.938985286;114.6976
14;800;9.616390824;111.3536
14;800;9.079951072;103.747
14;800;9.007655533;113.5997
14;800;8.224026292;108.8837
14;800;8.317893174;118.3704
14;800;8.022394503;115.5506
14;800;7.493482768;108.1742
14;800;7.540809557;120.7072
14;800;6.862398015;114.0126
14;800;6.701398379;112.5572
14;800;6.658222736;120.099
14;800;5.558796367;109.904
14;800;5.628074778;122.2979
14;800;5.463060228;118.4126
14;800;4.822623368;114.1435
14;800;4.811595858;122.9399
14;800;4.53542987;124.9561
14;800;3.78676185;115.6664
14;800;3.843123441;120.3359
14;800;3.825820378;123.6306
14;800;3.868604118;126.8078
14;800;3.848256335;127.1043
14;800;3.844162784;127.6451
14;800;3.050161485;122.0401
14;800;3.03501064;119.9631
14;800;3.039134584;121.0778
14;800;2.382433254;123.1016
14;800;2.423983019;122.0762
14;800;2.385804566;125.1448
14;800;1.877841201;127.069
14;800;1.694726361;119.7368
14;800;1.674098009;124.7796
14;800;0.89769959;117.594
14;800;0.957198154;122.6097
14;800;0.771090677;124.0386
14;800;0.191035779;121.0084
14;800;0.212349741;124.1689
17;600;15.2156315;108.2471
17;600;15.20753994;117.2367
17;600;15.16126999;118.0194
17;600;15.11894421;119.9709
17;600;15.09203503;116.4403
17;600;15.04056297;119.0603
17;600;15.01652124;110.0209
17;600;14.92665675;113.9583
17;600;15.17852396;111.3774
17;600;15.27353555;113.5525
17;600;15.18311663;112.2823
17;600;15.06096651;106.4038
