K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;7.31515006;866.3227
0;250;7.310297415;1001.6262
0;250;7.248195206;810.4454
0;250;7.144791717;1111.1384
0;250;7.058967494;1776.1195
0;250;6.973644475;984.3564
0;250;6.819026158;491.8117
0;250;6.675658213;701.2
0;250;6.617988293;888.546
0;250;6.569188696;1664.2619
0;250;6.528216817;1304.4836
0;250;6.511159248;1959.1781
0;250;6.499452238;729.3335
0;250;6.435848285;516.9524
0;250;6.402663009;700.1187
0;250;6.370722932;726.7612
0;250;6.340673906;703.679
0;250;6.246054187;591.4057
0;250;6.197996263;454.9362
0;250;6.221442776;466.2329
0;250;6.197164776;465.3125
0;250;6.260027269;464.9057
0;250;6.332466781;523.6386
0;250;6.333016535;519.4935
0;250;6.360705147;454.7137
0;250;6.395518576;482.7277
0;250;6.38759237;483.3272
0;250;6.317748643;473.1207
0;250;6.243705758;500.263
0;250;6.172923951;496.7759
0;250;6.132606752;488.8044
0;250;6.083442391;475.0577
0;250;6.091130608;468.0194
0;250;6.133527304;385.1662
0;250;6.190848387;1502.1536
0;250;6.240286643;737.1861
0;250;6.25620113;577.027
0;250;6.233998116;363.9756
0;250;6.241007581;526.9074
0;250;6.294646233;609.9772
0;250;6.336257959;452.8506
0;250;6.258167732;392.4181
0;250;5.894669573;366.2074
0;250;5.338040569;371.7777
1;0;10.07058963;306.6308
1;0;9.843704086;296.1314
1;0;9.711489127;293.5509
1;0;9.713112748;284.6022
1;0;9.736801793;276.8107
1;0;9.674147635;283.5941
1;0;9.566912091;331.2743
1;0;9.384276704;322.4614
1;0;9.365266284;326.6323
1;0;9.285662422;345.2493
1;0;9.145418174;320.4319
1;0;8.524982178;319.8387
1;0;7.84261108;305.7661
1;0;7.504076922;268.507
1;0;7.380412427;243.5752
1;0;7.333476845;250.3438
1;0;6.693090883;266.4674
1;0;6.143717746;258.0506
1;0;5.594148462;218.6268
1;0;5.262739551;227.4762
1;0;4.811859007;232.0791
1;0;4.196284057;234.0054
1;0;3.632768665;233.2382
1;0;3.11814583;234.4305
1;0;2.627654895;228.8605
1;0;2.107929806;213.0503
1;0;1.386359154;225.5983
1;0;0.89866059;231.3346
1;0;0.795094309;217.8555
1;0;0.896097929;262.7693
1;0;0.884886493;236.2552
1;0;0.851479432;247.4273
1;0;0.816210033;253.9122
1;900;9.949561056;225.7877
