K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;10.74517985;1165.3985
0;250;10.63371111;808.8093
0;250;10.58237332;1714.6451
0;250;10.46526113;2640.3617
0;250;10.65090813;807.328
0;250;10.66277616;1970.0738
0;250;10.49454144;3512.115
0;250;9.89830211;1573.6982
0;250;9.554935603;1359.2029
0;250;9.256123815;454.1378
0;250;9.183300615;380.2587
0;250;9.046046214;354.7079
0;250;9.102553495;333.6062
0;250;8.774159101;335.75
0;250;8.392275477;347.7481
0;250;8.22449975;334.1047
0;250;7.744083426;301.9077
0;250;7.31375796;330.3934
0;250;6.614751709;317.6568
0;250;6.170119205;312.1195
0;250;5.876851279;317.3853
0;250;5.418766013;306.1479
0;250;5.133185386;313.3504
0;250;4.543251319;307.9857
0;250;4.018776457;312.136
0;250;3.420919223;320.861
0;250;3.126430945;345.3795
0;250;2.573100147;320.7221
0;250;2.089362542;318.0267
0;250;1.584634369;317.8259
0;250;1.247805066;297.6722
0;250;1.105205202;324.066
0;250;0.989227244;313.0809
0;250;0.317373524;306.3567
0;250;0.341510101;330.2999
0;250;0.361549516;325.937
0;250;0.33866298;314.9508
0;250;0.376151786;304.8731
0;250;0.334856308;334.947
0;250;0.376861877;290.907
0;250;0.335664739;1421.6046
0;250;0.379586249;492.6721
0;250;0.358969395;471.4836
1;0;11.97695114;453.1912
1;0;11.94467279;453.0648
1;0;11.86788022;439.4467
1;0;11.88311309;457.6658
1;0;11.80912909;438.0699
1;0;11.92516655;464.856
1;0;11.83039578;465.1672
1;0;11.87837198;445.0874
1;0;11.84397345;493.1502
1;0;11.56857384;452.5076
1;0;10.89500984;455.159
1;0;10.32359978;451.8477
1;0;9.406964479;483.1343
1;0;8.748784461;456.1256
1;0;8.592635397;456.9287
1;0;8.350405708;479.1973
1;0;8.308500835;490.7131
1;0;7.478453085;470.4593
1;0;6.748438163;480.5306
1;0;5.950418891;430.5739
1;0;5.283976473;466.3416
1;0;4.914368937;459.2075
1;0;4.24626715;444.3992
1;0;3.585455705;458.2348
1;0;3.236742588;488.1231
1;0;2.702461464;506.1304
1;0;2.131717559;475.7657
1;0;1.434135467;466.9732
1;0;0.950889126;476.2627
1;0;0.613867691;442.5052
1;0;0.462230163;433.4194
1;0;0.128857608;440.765
1;0;0.217525568;441.7882
1;900;12.76345707;638.5207
1;900;12.65811657;626.1841
1;900;12.10771567;593.6386
1;900;12.08710457;598.3841
1;900;11.9437027;602.8558
1;900;11.3965909;580.5016
1;900;11.19131865;557.7333
1;900;10.67051997;579.6234
1;900;10.10907023;537.8415
1;900;9.650051902;545.655
1;900;8.87555507;587.5575
1;900;8.211802648;562.1685
1;900;7.640082259;572.6506
1;900;6.926149008;550.5085
1;900;6.225215046;586.8917
1;900;5.557577877;588.6569
1;900;5.26981365;564.9508
1;900;4.875176338;551.5413
1;900;4.378696345;561.2641
1;900;4.027712552;549.6475
1;900;3.529879394;581.8662
1;900;3.062562257;583.9246
1;900;2.696728361;578.2135
1;900;2.240543447;593.5601
1;900;2.012098064;564.8481
1;900;1.877689445;581.2047
1;900;1.266514695;588.2579
1;900;1.113337734;562.77
1;900;0.618211838;582.3137
1;900;0.364280807;569.8357
1;900;0.390898753;610.0228
1;900;0.494017033;560.4024
1;900;0.505241531;604.0722
1;900;0.508153203;569.7593
1;900;0.512671966;584.2435
1;900;0.517897621;574.087
3;500;12.75914472;559.772
3;500;12.31295564;612.6229
3;500;12.42729001;586.8839
3;500;12.51775732;575.1914
3;500;12.24031461;580.9509
3;500;11.36393144;577.6871
3;500;10.69223301;598.558
3;500;9.946052579;585.365
3;500;9.355943051;648.9045
3;500;8.982794463;608.3184
3;500;8.817556488;591.8399
3;500;7.951704477;614.4589
3;500;7.31682846;592.7243
3;500;6.608453663;582.2658
3;500;6.1845999;586.3315
3;500;5.763705894;585.9082
3;500;5.046394927;616.6447
3;500;4.397423605;612.188
3;500;3.627776886;640.9331
3;500;2.777321482;620.2775
3;500;2.566481547;605.0238
3;500;2.234244966;644.8659
3;500;1.60167479;623.7074
3;500;0.940704068;656.0995
3;500;0.647222166;665.5871
3;500;0.700003654;680.6884
3;500;0.50266043;665.5766
3;500;0.383639447;675.542
5;500;10.36845052;560.3652
5;500;10.34955268;646.3819
5;500;10.32998148;628.042
5;500;10.06107724;635.8132
5;500;9.63086345;607.8292
5;500;9.032492974;654.2878
5;500;8.968097037;649.3917
5;500;8.640199765;627.8279
