K;#�NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;11.23626096;4125.0849
0;250;11.13780839;4561.4568
0;250;10.34053135;4169.691
0;250;9.776395823;3785.1982
0;250;9.069013363;4327.9438
0;250;8.54536023;3517.599
0;250;7.830585387;3956.8398
0;250;7.052766118;3585.3373
0;250;6.333648396;3930.3366
0;250;5.664676857;3679.0358
0;250;4.891281144;4028.7184
0;250;4.238075264;4376.6717
0;250;3.771213308;4600.232
0;250;3.132492647;4203.5676
0;250;2.574779564;4156.0527
0;250;2.019723897;4129.9315
0;250;1.447721474;3864.1932
0;250;0.817769124;3864.6525
1;0;11.45654138;687.8165
1;0;11.23929993;678.4497
1;0;11.12807244;736.2329
1;0;11.18338796;725.0006
1;0;11.01746017;750.092
1;0;10.47247101;702.6933
1;0;9.742238227;730.5498
1;0;9.012981564;738.0039
1;0;8.506923857;726.8171
1;0;7.950449949;715.2337
1;0;7.245533132;789.575
1;0;6.694848842;695.778
1;0;6.092646864;680.794
1;0;5.479053817;755.466
1;0;4.969862034;726.8762
1;0;4.361593232;759.8762
1;0;3.826437572;751.1646
1;0;3.140742662;708.1975
1;0;2.539322441;759.1332
1;0;1.864204595;777.0493
1;0;1.343688414;772.3774
1;0;0.75728954;772.3479
1;900;10.9787531;565.9109
1;900;10.22982901;552.9204
1;900;9.379963761;541.8082
1;900;8.490248178;538.2083
1;900;7.652807822;489.5855
1;900;7.05029847;444.6611
1;900;6.30523705;457.4392
1;900;5.603341524;427.2141
1;900;5.113664844;433.8079
1;900;4.692940876;440.9452
1;900;4.118845477;430.0919
1;900;3.740298953;391.3525
1;900;3.250732542;420.7167
1;900;2.819547194;419.5341
1;900;2.251441511;423.1995
1;900;1.531116455;434.9031
1;900;0.882725206;428.797
3;500;13.19210046;432.6506
3;500;12.66744267;449.0587
3;500;12.11159394;383.8372
3;500;11.52997754;390.4976
3;500;11.01831973;393.1339
3;500;10.55816969;410.8631
3;500;9.860871421;406.9013
3;500;9.284418118;377.1836
3;500;8.637618191;433.6978
3;500;8.085108278;386.7832
3;500;7.392038014;409.7273
3;500;6.70225951;374.0643
3;500;6.187033622;393.3987
3;500;5.753468224;442.6347
3;500;5.19437977;374.1315
3;500;4.649686202;364.5786
3;500;4.021352927;375.2438
3;500;3.400240594;369.7816
3;500;2.645371206;342.332
3;500;1.927775653;385.3788
3;500;1.30065597;388.4247
3;500;0.697519737;387.9259
5;500;13.36872065;435.9938
5;500;12.93062495;472.3195
5;500;12.84944135;500.213
5;500;12.50929726;445.1843
5;500;11.82851405;443.8539
5;500;11.16560858;450.163
5;500;10.58678922;402.6769
5;500;9.963206223;441.5865
5;500;9.225670451;432.1558
5;500;8.504580032;419.9335
5;500;7.829556985;438.1273
5;500;7.267395582;427.2749
5;500;6.832983702;413.0467
5;500;6.398949745;391.0928
5;500;5.742934965;408.9468
5;500;5.127330901;418.439
5;500;4.570405506;449.4841
5;500;4.130545657;400.5445
5;500;3.765201892;392.3013
5;500;3.259842222;358.1061
5;500;2.715752972;324.4078
5;500;2.196544556;325.8439
5;500;1.587607219;318.8885
5;500;1.156296169;325.8852
5;500;0.77713631;332.3955
7;900;13.80737861;375.8048
7;900;13.79445654;395.4591
7;900;13.09003789;411.7911
7;900;12.6143897;406.2287
7;900;12.39503448;422.9392
7;900;11.89993541;444.7113
7;900;11.18512945;515.4842
7;900;10.4243559;537.4577
7;900;9.913152168;486.4653
7;900;9.66041138;439.2621
7;900;9.27228815;452.5143
7;900;8.773749646;430.7362
7;900;8.276529782;429.6101
7;900;7.977828223;405.6139
7;900;7.349979187;427.548
7;900;6.56979593;423.0122
7;900;5.972174423;403.0078
7;900;5.543341067;441.1355
7;900;5.052572005;439.2268
7;900;4.542071518;438.9324
7;900;4.42426213;441.8743
7;900;3.912460479;441.7241
7;900;3.20144057;486.0874
7;900;3.368781858;417.5554
7;900;2.96131451;437.2757
7;900;2.539905765;425.9504
7;900;1.867511357;416.3002
7;900;1.222522103;400.602
7;900;0.667886728;432.9248
11;200;13.68246138;373.3901
11;200;13.59087936;358.3478
11;200;13.5550814;357.0141
11;200;13.50472016;372.1078
11;200;13.45805241;346.8758
11;200;13.46550727;372.6877
11;200;13.52209883;379.212
11;200;13.30445445;381.9923
11;200;13.4072488;378.2972
11;200;13.45268296;389.8752
11;200;13.53120448;412.2892
11;200;13.67281812;385.6226
11;200;13.55630962;412.2656
11;200;13.54307918;391.2879
11;200;13.14311166;437.474
11;200;12.4787968;369.9155
11;200;11.99870434;416.0096
11;200;11.93904053;408.3984
11;200;11.37321391;388.6552
11;200;11.55392035;366.8332
11;200;10.77950097;403.0632
11;200;11.06105785;376.0055
11;200;10.20010633;363.7332
11;200;10.02508711;380.4788
11;200;9.338074121;411.3453
11;200;9.316087931;371.6717
11;200;8.424137314;399.3967
11;200;8.407468654;345.0537
11;200;7.512648403;375.1352
11;200;7.627299798;356.2488
11;200;6.935548256;387.8426
11;200;7.137032976;367.9049
11;200;6.565948938;396.6197
11;200;6.14092748;371.0341
11;200;5.677143224;396.1504
11;200;5.279216312;387.558
11;200;5.062471189;376.3691
11;200;4.552572587;415.538
11;200;4.097653997;368.1559
11;200;3.948799517;379.6221
11;200;3.183819099;376.6358
11;200;2.648560935;377.943
11;200;2.354774778;374.5919
11;200;1.931668894;403.951
11;200;1.674838748;408.2442
11;200;1.320358454;393.7694
11;200;1.035721232;369.2737
14;800;13.99160691;349.7753
14;800;13.97929389;346.3387
14;800;13.93982191;356.467
14;800;13.99167603;383.951
14;800;13.71661987;364.2116
14;800;13.51967892;370.4608
14;800;13.56119711;351.0676
14;800;13.31906102;340.9178
14;800;13.24755471;370.6762
14;800;13.16493699;359.0689
14;800;12.94948553;386.468
14;800;12.89659607;387.7796
14;800;12.78187119;372.8712
14;800;12.70702289;393.8032
14;800;12.45667767;371.8232
14;800;12.55122592;371.5433
14;800;12.41987547;374.2574
14;800;12.33130267;368.6845
14;800;11.99118888;367.6655
14;800;11.79679007;386.0839
14;800;11.58064203;340.614
14;800;11.4246942;363.286
14;800;11.14001933;378.1754
14;800;10.85304715;378.0929
14;800;10.49323212;376.6869
14;800;10.13817722;380.3416
14;800;9.837927784;377.7326
