K;#�NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;13.69741924;1898.2836
0;250;13.51500993;2334.8483
0;250;13.688459;2127.8336
0;250;13.58118007;1656.2589
0;250;13.61760901;2116.543
0;250;13.57196795;1687.2254
0;250;13.47704223;2175.471
0;250;13.3781426;2273.9603
0;250;13.29315668;1867.4255
0;250;13.1446182;2203.8446
0;250;12.89154949;1851.0553
0;250;12.75528939;1569.7206
0;250;12.13529167;2057.8829
0;250;11.78408596;1788.7146
0;250;11.33831538;1994.2899
0;250;10.9553385;1786.8331
0;250;10.43729567;1930.4369
0;250;10.12003601;2074.6832
0;250;9.734850454;1767.5771
0;250;9.416810513;1890.0989
0;250;9.079232187;2249.1726
0;250;8.411121705;1950.0601
0;250;7.936872625;1776.4149
0;250;7.396490761;2138.0599
0;250;6.993714837;2055.8393
0;250;6.58487707;1780.2349
0;250;6.15133934;1984.7842
0;250;5.662153696;2206.4507
0;250;5.268738464;1852.4663
0;250;5.202538318;1974.3086
0;250;5.062937332;1910.5481
0;250;4.586668359;2060.1587
0;250;4.176011433;1848.8514
0;250;3.533186314;2188.6206
0;250;2.990800475;2274.8144
0;250;2.40436851;1900.6067
0;250;1.961774903;2152.4235
0;250;1.506276566;2052.4695
0;250;1.123995876;1684.8462
0;250;0.71412992;1950.2447
1;0;11.99492125;1415.9586
1;0;11.64032635;1332.734
1;0;11.75145727;1375.6022
1;0;11.44639297;1242.4713
1;0;11.12073903;1453.6645
1;0;10.80412559;1264.7979
1;0;10.41480279;1308.9017
1;0;10.11201075;1519.2769
1;0;9.80752793;1322.8693
1;0;9.332452477;1241.9791
1;0;8.798885198;1326.3667
1;0;8.356236141;1350.4282
1;0;7.834358606;1291.1761
1;0;7.439334882;1271.1162
1;0;7.069743239;1309.1016
1;0;6.743210054;1271.5128
1;0;6.27145594;1431.3089
1;0;5.916011933;1298.2654
1;0;5.546504758;1405.9614
1;0;5.215203626;1245.193
1;0;4.779265457;1237.1404
1;0;4.314923132;1404.5186
1;0;3.820375642;1377.278
1;0;3.273475266;1369.6284
1;0;2.743172134;1383.8037
1;0;2.14613713;1280.2772
1;0;1.495713492;1395.8849
1;900;8.285874739;937.2932
1;900;8.268741887;964.927
1;900;8.276881335;843.9428
1;900;8.226214249;937.1894
1;900;8.227724305;858.22
1;900;8.218323313;859.6095
1;900;8.160487489;890.1331
1;900;8.032368106;868.2153
1;900;7.951851436;854.4061
1;900;7.813314314;823.685
1;900;7.688809066;840.7187
1;900;7.560940716;807.359
1;900;7.254710922;774.277
1;900;6.803789583;814.2649
1;900;6.420658553;848.8512
1;900;6.021752982;810.1932
1;900;5.588668358;845.5365
1;900;4.984359122;803.1959
1;900;4.248468726;799.7622
1;900;3.819464055;855.0501
1;900;3.337414244;796.9039
1;900;2.771781823;848.6747
1;900;2.370054365;782.0551
1;900;1.862785908;810.3554
1;900;1.33530779;829.4853
1;900;0.77376862;836.1055
3;500;12.04557047;796.3336
3;500;12.0237786;917.3948
3;500;11.87259949;996.1545
3;500;11.73424666;907.2161
3;500;11.50190682;822.7602
3;500;11.37653946;896.399
3;500;11.13277601;860.2582
3;500;10.94443695;868.1992
3;500;10.66919564;803.8545
3;500;10.1732655;854.6345
3;500;9.766051388;845.1133
3;500;9.298361018;903.139
3;500;8.957237815;875.1249
3;500;8.419619303;785.9073
3;500;7.919188384;811.7961
3;500;7.510944118;811.2476
3;500;6.974563406;767.4598
3;500;6.528927565;770.8087
3;500;6.053793315;800.4558
3;500;5.488055394;772.0717
3;500;4.8447789;787.4222
3;500;4.28939901;820.0678
