K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
3;500;13.81828;325.5482
3;500;13.47204;331.6793
3;500;13.7888;325.1475
3;500;12.62866;295.7188
3;500;12.59556;312.8732
3;500;12.19471;323.4876
3;500;11.63069;346.3908
3;500;11.12329;321.4086
3;500;10.52972;322.3015
3;500;10.2957;326.4398
3;500;9.60531;320.11
3;500;9.1971;328.4773
3;500;8.69681;326.792
3;500;8.9026;339.2669
3;500;7.49007;353.5068
3;500;6.91227;349.8849
3;500;6.49912;360.2844
3;500;6.25786;355.1345
3;500;5.55334;360.3294
3;500;4.85993;341.875
3;500;4.18846;330.4791
3;500;3.5787;362.3223
3;500;3.7402;349.6005
3;500;2.53765;355.0594
3;500;1.95872;336.844
3;500;1.36184;539.7204
3;500;0.88762;340.4917
3;500;0.7216;355.99
3;500;0.70194;347.5397
3;500;0.68125;321.9999
3;500;0.59813;287.6727
3;500;0.34647;285.9487
3;500;0.38799;277.3219
3;500;0.16788;260.612
5;500;13.67129;419.7719
5;500;13.58711;414.3794
5;500;13.22107;385.0126
5;500;12.70005;406.5119
5;500;12.40274;395.2565
5;500;12.33461;425.5898
5;500;12.11992;378.9922
5;500;11.53972;393.872
5;500;11.7821;383.909
5;500;10.70634;374.1615
5;500;10.49004;403.2582
5;500;9.83447;406.9148
5;500;9.18409;376.9211
5;500;8.58928;387.5069
5;500;8.12499;368.0406
5;500;7.69225;372.942
5;500;6.98048;372.4855
5;500;6.37727;345.3176
5;500;5.8323;340.3986
5;500;5.68599;360.1215
5;500;5.44184;348.6673
5;500;4.99419;363.9324
5;500;4.78589;360.6528
5;500;4.40046;363.3159
5;500;3.83356;373.0712
5;500;3.32895;391.3598
5;500;2.74536;364.3447
5;500;2.12593;366.5878
5;500;1.49056;337.4581
5;500;1.2631;348.0601
5;500;0.48146;347.4737
5;500;0.51493;319.1048
5;500;0.56;320.6716
5;500;0.41038;320.2112
5;500;0.16928;297.4022
7;900;9.74092;353.8945
7;900;9.35553;338.344
7;900;9.27535;353.1889
7;900;9.2019;338.9017
7;900;8.35296;340.8091
