K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
3;500;8.256;291.3626
3;500;7.99249;294.3125
3;500;7.96278;304.484
3;500;8.13156;293.2345
3;500;7.80361;289.9714
3;500;7.45726;289.0048
3;500;7.72617;306.7398
3;500;7.59618;280.2275
3;500;7.32964;272.7806
3;500;7.12502;274.0405
3;500;7.7758;269.7887
3;500;6.93511;270.3426
3;500;6.42914;265.3901
3;500;5.97306;261.7818
3;500;5.58918;263.2287
3;500;5.2242;265.353
3;500;4.60514;274.7839
3;500;4.15055;270.3702
3;500;3.95297;276.9079
3;500;3.776;273.5917
3;500;3.39619;269.8153
3;500;3.9065;270.2916
3;500;2.76804;256.0158
3;500;2.51467;278.2014
3;500;1.96434;270.2335
3;500;1.58972;279.739
3;500;0.95198;258.6061
3;500;0.6947;280.6548
3;500;0.33464;271.6405
3;500;0.2878;241.6415
3;500;0.32563;552.8815
3;500;0.33435;194.7824
3;500;0.35637;195.7567
3;500;0.33553;158.7186
3;500;0.16862;167.5961
5;500;9.69059;324.3718
5;500;9.60014;316.7541
5;500;9.25001;322.7252
5;500;8.90365;322.3261
5;500;8.30382;328.3371
5;500;7.77545;296.8784
5;500;7.3915;285.8827
5;500;6.28926;289.0806
5;500;5.5812;270.248
5;500;4.9016;294.1313
5;500;4.13304;278.842
5;500;3.3639;294.8375
5;500;2.62196;269.3588
5;500;1.91387;273.295
5;500;1.28721;266.8529
5;500;0.76541;176.0156
5;500;0.41961;171.7802
5;500;0.40831;155.5487
5;500;0.3526;165.1948
7;900;7.33703;943.5855
7;900;7.13847;954.2379
7;900;6.96984;736.8422
7;900;6.77778;572.1953
7;900;6.61543;631.4343
7;900;6.43602;641.9042
7;900;6.28867;704.3948
7;900;6.15898;658.9941
7;900;6.9048;666.9868
7;900;5.97661;610.5812
7;900;5.82757;587.377
7;900;5.81907;531.5286
7;900;5.77436;511.9737
7;900;5.71089;477.3792
7;900;5.68864;439.065
7;900;5.67113;414.2039
7;900;5.56657;443.2652
7;900;5.55142;461.6279
7;900;5.57706;468.8586
7;900;5.57537;455.6453
7;900;5.56524;484.0307
7;900;5.63108;488.0311
7;900;5.7165;487.0417
7;900;5.76882;467.6457
7;900;5.75271;483.2554
7;900;5.74067;487.1925
