K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;13.335;393.7198
0;250;13.12403;307.5559
0;250;13.12315;360.3136
0;250;13.2316;310.6759
0;250;12.79376;264.2403
0;250;12.41752;319.7527
0;250;12.28761;444.0779
0;250;11.8524;457.0399
0;250;12.387;317.2496
0;250;11.93428;221.1994
0;250;11.11353;219.7712
0;250;10.98066;216.4157
0;250;10.56534;216.3251
0;250;10.76642;479.9282
0;250;9.95766;4450.6008
0;250;9.61647;915.8307
0;250;9.31179;3536.7741
0;250;9.4403;1415.5496
0;250;9.20375;1602.2431
0;250;9.47407;3075.3526
0;250;9.1113;1788.6924
0;250;9.18564;3897.1799
0;250;8.44954;2011.1369
0;250;8.36168;8731.391
0;250;7.53049;965.3392
0;250;7.84521;1088.0971
0;250;7.13071;465.2064
0;250;7.6265;388.8612
0;250;6.39205;425.4263
0;250;5.80348;354.5046
0;250;5.47613;394.1646
0;250;4.71473;323.8617
0;250;5.14309;333.3528
0;250;4.20235;319.8994
0;250;4.5294;325.9736
0;250;3.28742;337.2068
0;250;3.3124;326.9555
0;250;3.4284;339.8074
0;250;2.49635;325.9138
0;250;2.32647;341.8141
0;250;1.44785;307.4695
0;250;1.4729;343.7432
0;250;1.18517;335.198
0;250;0.94008;335.3581
0;250;1.858;332.6267
0;250;0.80694;325.712
0;250;0.53385;335.0218
0;250;0.48094;349.1997
0;250;0.31351;323.9024
0;250;0.34824;328.7154
0;250;0.30923;335.6517
0;250;0.28891;354.0524
0;250;0.11919;336.5939
0;500;14.8315;675.5598
0;500;14.18943;606.111
0;500;13.89596;680.2339
0;500;13.39903;666.6944
0;500;13.40775;657.2104
0;500;13.12078;618.6085
0;500;12.57013;543.0289
0;500;12.7743;622.7005
0;500;11.11841;520.5737
0;500;10.81394;461.3514
0;500;10.22939;438.0747
0;500;10.21683;432.1108
0;500;10.55714;441.9191
0;500;10.59756;359.234
0;500;10.61478;483.7125
0;500;9.87142;451.4671
0;500;9.52654;513.2256
0;500;8.62631;534.2401
0;500;7.89384;423.1222
0;500;7.65234;509.3165
0;500;6.71593;342.5617
0;500;6.23044;374.3608
0;500;5.11974;371.5467
0;500;4.19053;328.3299
0;500;3.46572;406.018
0;500;2.70974;314.2476
0;500;1.78412;298.5107
0;500;1.599;316.3398
0;500;0.63433;309.7369
0;500;0.2029;265.7167
0;500;0.32083;256.1035
0;500;0.13589;269.801
1;0;14.629;377.1892
1;0;13.90298;358.2786
1;0;13.62295;382.6685
1;0;13.53228;360.3172
1;0;13.4702;345.6781
1;0;13.21774;322.6933
1;0;13.11989;401.353
1;0;13.14886;367.5363
1;0;12.90632;344.4249
1;0;12.64418;336.0347
1;0;11.9263;367.9859
1;0;11.51312;351.9878
1;0;11.42813;326.499
1;0;11.26444;313.6309
1;0;10.79768;295.7624
1;0;10.7036;306.1211
1;0;9.71712;306.6874
1;0;9.78112;297.4767
1;0;9.46328;296.2455
1;0;9.17825;293.4209
1;0;8.9972;303.5934
1;0;8.77603;294.0026
1;0;8.76125;289.7075
1;0;8.19512;327.05
1;0;8.7296;307.2602
1;0;7.89812;298.5697
1;0;7.60261;307.1478
1;0;7.39415;288.1528
1;0;6.98292;280.8381
1;0;6.66036;291.7416
1;0;6.67751;298.3587
1;0;6.69664;281.2453
1;0;6.83963;292.891
1;0;6.21522;311.737
1;0;5.93575;303.2831
1;0;5.33927;296.9576
1;0;5.6387;294.0064
1;0;4.29767;293.1836
1;0;4.3146;284.8953
1;0;4.22142;294.1166
1;0;3.96922;277.3342
1;0;3.83466;280.855
1;0;3.28565;289.8996
1;0;2.86469;288.9443
1;0;2.28302;299.8643
1;0;1.56459;304.3517
1;0;1.37876;289.9431
1;0;0.30863;275.9451
1;0;0.1766;280.3922
1;900;14.9298;424.3549
1;900;14.11996;422.7653
1;900;14.8219;382.3851
1;900;14.5899;370.7595
1;900;13.83942;412.8397
1;900;13.73425;414.5806
1;900;13.62495;389.9912
1;900;13.6775;409.8458
1;900;13.68008;361.4989
1;900;13.65193;382.7822
1;900;13.47382;403.1677
1;900;12.7152;396.9095
1;900;11.9787;399.7783
1;900;11.706;430.7574
1;900;10.48013;364.33
1;900;9.4012;364.8572
1;900;9.33935;310.3462
1;900;8.35828;328.2749
1;900;7.77198;323.9847
1;900;7.1551;324.2237
1;900;6.34143;314.763
1;900;5.76601;316.1585
1;900;5.1108;321.9356
1;900;4.11198;303.4768
1;900;3.50348;307.1231
1;900;2.89609;299.3004
1;900;2.9667;318.006
1;900;1.59991;282.5189
1;900;1.1398;261.4951
1;900;0.57463;259.9494
1;900;0.13138;273.0155
1;900;0.24982;261.4279
1;900;0.41356;284.8472
1;900;0.32142;266.4252
1;900;0.7537;305.3812
3;500;14.7569;382.8931
3;500;13.87319;422.2349
3;500;13.53863;419.3696
3;500;12.92878;377.2733
3;500;12.4595;377.4142
3;500;12.3043;325.0821
3;500;11.9028;328.5802
3;500;11.43766;343.5601
3;500;11.28284;355.1606
3;500;10.97593;314.1712
