K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;13.84703;331.1639
0;250;13.72006;349.4094
0;250;13.4617;356.9248
0;250;13.46192;375.1893
0;250;13.47367;421.2904
0;250;13.44056;436.4027
0;250;13.17924;520.6321
0;250;12.38819;492.6233
0;250;11.95756;560.9102
0;250;11.34891;607.1391
0;250;10.50762;556.3328
0;250;9.59201;594.8245
0;250;8.86958;670.0169
0;250;8.78194;701.1116
0;250;8.82761;746.0228
0;250;7.92768;746.6486
0;250;7.31427;799.7761
0;250;6.61529;749.4008
0;250;6.63265;808.5287
0;250;5.97491;781.4662
0;250;5.17006;780.8539
0;250;5.26871;813.8756
0;250;4.52305;734.3599
0;250;3.98733;728.911
0;250;3.73107;741.5109
0;250;2.82383;747.6138
0;250;2.26463;798.8131
0;250;1.65563;756.4658
0;250;0.93949;772.7316
0;250;0.94422;729.12
0;250;1.2166;749.6525
0;250;0.89575;873.4545
0;250;0.19669;843.7578
0;500;11.19261;410.6771
0;500;10.88718;389.4445
0;500;10.72888;425.343
0;500;10.51228;382.9217
0;500;10.15032;553.0587
0;500;9.8075;882.0226
0;500;9.50791;857.1563
0;500;9.20109;815.9389
0;500;8.89685;828.3936
0;500;8.73922;792.883
0;500;8.68801;832.2506
0;500;8.66023;785.051
0;500;8.67789;809.2068
0;500;8.71491;845.5002
0;500;8.76841;895.3003
0;500;8.81105;897.2464
0;500;8.6688;864.5693
0;500;8.52285;906.179
0;500;8.46462;886.8004
0;500;8.47171;862.2065
0;500;7.84499;862.5708
0;500;7.73873;898.3991
0;500;7.1466;863.0409
0;500;6.56001;890.1408
0;500;5.84656;854.2406
0;500;5.5348;854.5483
0;500;5.638;917.9132
0;500;4.70815;935.2899
0;500;4.73571;825.6595
0;500;4.35346;878.496
0;500;4.4201;878.8589
0;500;3.64158;917.3169
0;500;3.10728;825.6028
0;500;3.3907;821.5081
0;500;2.7489;865.8668
0;500;2.68358;825.7295
0;500;2.18771;880.1873
0;500;1.89525;846.1613
0;500;1.46721;890.2384
0;500;1.19485;925.6839
0;500;1.13944;778.2888
0;500;0.60788;807.8837
0;500;0.7544;840.426
0;500;0.75433;795.6798
0;500;0.24236;827.967
1;0;14.7236;589.8179
1;0;14.12336;490.7765
1;0;13.83957;524.9606
1;0;13.79559;489.9338
1;0;13.74638;524.3733
1;0;13.6653;503.5671
1;0;13.64623;524.8448
1;0;13.77993;481.0365
1;0;13.76618;520.9807
1;0;13.58578;499.8905
1;0;12.83589;495.2835
1;0;12.61263;487.3912
1;0;12.62157;510.352
1;0;11.57372;605.3989
1;0;11.5234;521.2257
1;0;9.81334;515.759
1;0;9.11921;516.5397
1;0;8.15152;484.7768
1;0;7.48371;558.4603
1;0;6.59548;482.0557
1;0;5.52246;482.1786
1;0;4.82394;462.7043
1;0;3.81723;536.7102
1;0;3.29311;479.4981
1;0;2.56033;508.82
1;0;1.85417;470.1101
1;0;1.31788;462.6084
1;0;0.59347;460.5237
1;0;0.30413;456.2553
1;900;9.93579;208.1104
1;900;9.8814;204.2558
1;900;9.68365;201.5274
1;900;9.42603;211.6199
1;900;9.22584;225.6913
1;900;8.83935;405.9023
1;900;8.45812;485.3783
1;900;8.7755;533.6462
1;900;7.88305;651.2986
1;900;7.87773;615.5432
1;900;7.93263;577.5169
1;900;7.81573;488.2791
1;900;7.68656;519.9924
1;900;7.60616;470.5802
1;900;7.67222;492.3152
